source,ocean,latitude,longitude,location,site,sample.ID,sample.type,group,group.2,species.taxa,common.name,size.class.other,Thr13C,Ile13C,Val13C,Phe13C,Leu13C
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-2.71,-17.78,-30.34,-19.48,-24.05
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-9.98,-14.04,-19.94,-19.85,-23.12
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-7.19,-11.26,-21.83,-18.3,-25.24
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-3.64,-10.72,-18.75,-17.57,-22.34
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-2.86,-11.07,-23.86,-20.4,-23.57
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-6.55,-11.56,-22.68,-21.79,-25.04
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-6.13,-13.1,-25.38,-22.63,-25.85
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-7.42,-14.94,-19.3,-20.98,-24.22
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-2.37,-11.72,-17.45,-17.6,-21.52
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-2.63,-11.46,-21.01,-22.78,-23.81
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-2.28,-9.09,-21.33,-20.82,-23.21
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-1.46,-10.08,-20.68,-20.43,-23.64
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-5.67,-12.29,-21.47,-20,-25.03
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-3.13,-11.79,-16.66,-17.78,-22.28
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-3.37,-12.22,-23.67,-22.92,-26.19
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-3.71,-11.46,-22.04,-19.29,-23.03
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-1.16,-11.42,-22.15,-21.94,-23.84
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-5.05,-11.6,-18.88,-20.61,-27.2
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-3.62,-13.01,-22.13,-20.6,-26.65
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-1.58,-12.79,-23.3,-19.56,-25.02
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,1.09,-12.65,-21.98,-21.77,-25.33
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,1.56,-10.68,-20.17,-19.42,-22.99
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,0.75,-10.23,-19.94,-20.13,-22.11
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-0.49,-9.42,-20.67,-19.11,-22.42
Fox et al. 2019,Central Pacific,,,Palmyra,reef,symb.Pal,endosymbiont algae,Symbiodiniaceae,coral.symbiont,P meandrina,endosymbiont algae,,-3.04,-10.29,-21.47,-22.17,-24.65
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-7.31,-11.53,-21.1,-18.85,-22.92
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-4.41,-7.9,-18,-19.3,-22.92
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-9.22,-17.55,-17.99,-20.97,-24.81
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-5.5,-13.66,-19.54,-18.48,-22.4
Fox et al. 2019,Central Pacific,,,Palmyra,reef,host.Pal,invertebrate,coral.host,coral.host,P meandrina,coral animal,,-7.48,-12.85,-21.13,-21.22,-24.65
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR13-PLKT,zooplankton,plankton,reef.plankton,zooplankton,,>163um,-9.99,-18.35,-22.25,-22.52,-23.5
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR3-PLKT,zooplankton,plankton,reef.plankton,zooplankton,,>163um,-7.76,-14.83,-19.24,-19.82,-22.05
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR4-PLKT,zooplankton,plankton,reef.plankton,zooplankton,,>163um,-11.33,-20.18,-25.76,-26.93,-27.57
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR5-PLKT,zooplankton,plankton,reef.plankton,zooplankton,,>163um,-8.02,-17.7,-22.19,-23.78,-24.03
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR7-PLKT,zooplankton,plankton,reef.plankton,zooplankton,,>163um,-9.61,-18.59,-25.37,-27.85,-27.37
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR13-POM,POM,POM,reef.plankton,POM,,>0.7um,-13.94,-19.17,-29.88,-26.38,-26.45
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR13-POM-2,POM,POM,reef.plankton,POM,,>0.7um,-13.21,-17.75,-25.04,-25.97,-25.96
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,fringe reef,MDF-FR3-POM1+2,POM,POM,reef.plankton,POM,,>0.7um,-9.93,-17.99,-22.81,-23.3,-25.37
Fox et al. Fun Ecol 2019,Central Pacific,,,Palmyra,lagoon,MDF-LAG-West-PLKT,zooplankton,plankton,reef.plankton,zooplankton,,>163um,-4.99,-14.8,-21,-20.13,-24.35
