transmitter_number,biopsy_id,SampleID_new,SampleID_old,Group,Species.name,Common.name,Data.source,d13C_bulk,d15N_bulk,d13CThr,d13CVal,d13CLeu,d13CPhe,d13CLys,d13CThr.norm,d13CVal.norm,d13CLeu.norm,d13CPhe.norm,d13CLys.norm,Tagging Date,Total Length (cm),Total Detections,Total Detection Days,RI_corrected,Residency,RI_pre_storm,RI_post_storm_total,RI_post_4wk,RI_post_3mo,d15N_SAA,TPGlx_Phe,SD_TPGlx_Phe,TPAla_Phe,SD_TPAla_Phe,PTS
1297253,CI1,GT_7,GT_1,GT,Caranx ignobilis,Giant Trevally,This study,-13.1,10.4,-8.1,-17.4,-19,-20.3,-12.2,7.3,-2,-3.6,-4.9,3.2,7/4/18,109,574,33,0.084,low,0.053191489,0.093645485,0,0,2.2,4.158,0.094,5.133,0.056,0.975
1297255,CI2,GT_9,GT_2,GT,Caranx ignobilis,Giant Trevally,This study,-17.5,10.2,-10,-17.1,-21.5,-22.1,-15.1,7.16,0.06,-4.34,-4.94,2.06,7/4/18,136,1177,39,0.0992,low,0.074468085,0.107023411,0.25,0.0889,2.5,4.018,0.098,5.289,0.059,1.271
1297256,CI3,GT_1,GT_3,GT,Caranx ignobilis,Giant Trevally,This study,-14,10.6,-8.3,-18.2,-20,-20.2,-12.3,7.5,-2.4,-4.2,-4.4,3.5,7/4/18,119,4,1,0.0025,low,0.010638298,0,0,0,3,4.123,0.093,5.489,0.054,1.366
1297247,CI4,GT_10,GT_4,GT,Caranx ignobilis,Giant Trevally,This study,-16.7,9.7,-8.6,-18.9,-20.9,-23.3,-12.4,8.22,-2.08,-4.08,-6.48,4.42,7/4/18,126,1376,61,0.1552,high,0.170212766,0.150501672,0.1071,0.0333,2.1,4.07,0.099,5.2,0.064,1.13
1297248,CI5,GT_11,GT_5,GT,Caranx ignobilis,Giant Trevally,This study,-14.6,10.5,-7.5,-18.7,-20.2,-21.3,-10.9,8.22,-2.98,-4.48,-5.58,4.82,7/4/18,114,2179,66,0.1679,high,0.074468085,0.197324415,0.3571,0.2444,3.1,4.368,0.088,5.422,0.057,1.054
1297249,CI6,GT_5,GT_6,GT,Caranx ignobilis,Giant Trevally,This study,-16.1,10.1,-9.7,-19,-21.1,-22.9,-12.7,7.38,-1.92,-4.02,-5.82,4.38,7/5/18,125,644,30,0.0763,low,0.095744681,0.070234114,0,0,2.8,4.088,0.092,5.133,0.058,1.046
1297241,CI7,GT_8,GT_7,GT,Caranx ignobilis,Giant Trevally,This study,-13.4,10.9,-7.8,-17.8,-19.2,-21.1,-12.6,7.9,-2.1,-3.5,-5.4,3.1,7/6/18,106,800,37,0.0941,low,0.106382979,0.090301003,0,0,3.2,4,0.097,4.911,0.066,0.911
1297250,CI8,GT_12,GT_8,GT,Caranx ignobilis,Giant Trevally,This study,-16.1,10,-9.7,-19.8,-21.5,-22.8,-12.9,7.64,-2.46,-4.16,-5.46,4.44,7/6/18,138,2075,69,0.1756,high,0.180851064,0.173913043,0.25,0.1222,1.4,4.596,0.089,5.711,0.063,1.115
1297234,CI9,GT_4,GT_9,GT,Caranx ignobilis,Giant Trevally,This study,-13.8,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/6/18,142,269,27,0.0687,low,0.021276596,0.08361204,0,0,2.3,3.684,0.104,5.111,0.058,1.427
1297257,CI10,GT_13,GT_10,GT,Caranx ignobilis,Giant Trevally,This study,-15.9,10,-8.2,-20.1,-22.1,-23.3,-16.8,9.9,-2,-4,-5.2,1.3,7/6/18,131,884,73,0.1858,high,0.287234043,0.153846154,0.1071,0.1111,4.6,3.351,0.122,4.511,0.081,1.16
1297244,CI11,GT_6,GT_11,GT,Caranx ignobilis,Giant Trevally,This study,-15.5,10.3,-8.6,-19,-21.3,-23.2,-14.7,8.76,-1.64,-3.94,-5.84,2.66,7/6/18,118,1201,31,0.0789,low,0.010638298,0.100334448,0.25,0.0778,2.4,3.982,0.097,4.867,0.077,0.884
1297245,CI12,GT_2,GT_12,GT,Caranx ignobilis,Giant Trevally,This study,-17.4,10.4,-8.4,-19.2,-21.5,-20.3,-17.1,8.9,-1.9,-4.2,-3,0.2,7/6/18,144,205,19,0.0483,low,0,0.063545151,0,0.0111,4.4,3.491,0.115,5,0.065,1.509
1297243,CI13,GT_14,GT_13,GT,Caranx ignobilis,Giant Trevally,This study,-15,10.7,-9,-19.9,-21.5,-20.4,-17.3,8.62,-2.28,-3.88,-2.78,0.32,7/6/18,122,2238,223,0.5674,high,0.808510638,0.491638796,0.6786,0.6333,5.1,3.544,0.115,4.956,0.066,1.412
1297242,CI14,GT_3,GT_14,GT,Caranx ignobilis,Giant Trevally,This study,-14.9,9.9,-9.3,-18.5,-20.9,-20,-17.1,7.86,-1.34,-3.74,-2.84,0.06,7/6/18,112,620,25,0.0636,low,0.021276596,0.076923077,0.0714,0.0222,2.6,4.158,0.096,5.6,0.063,1.442
1297258,GS1,GS_4,GS_1,GS,Carcharhinus galapagensis,Galapagos Shark,This study,-15.4,10.1,-8.1,-19.2,-21.4,-19.8,-17.5,9.1,-2,-4.2,-2.6,-0.3,7/4/18,122,818,75,0.1908,high,0.414893617,0.120401338,0.0357,0.0444,2.6,3.661,0.104,4.244,0.072,0.583
1297246,GS2,GS_6,GS_2,GS,Carcharhinus galapagensis,Galapagos Shark,This study,-15.3,9.4,-7.7,-17.5,-21.6,-21.2,-15.8,9.06,-0.74,-4.84,-4.44,0.96,7/5/18,218,6958,184,0.4682,high,0.6382979,0.4147157,0,0,3.3,3.932,0.101,5,0.06,1.068
