"SampleID","Source","Mean","SD","2.5.perc","5.perc","25.perc","50.perc","75.perc","95.perc","97.5.perc"
"CI_1","Coral","0.242","0.307","0.001","0.002","0.010","0.038","0.615","0.755","0.781"
"CI_10","Coral","0.094","0.113","0.000","0.001","0.006","0.033","0.175","0.309","0.354"
"CI_11","Coral","0.177","0.239","0.000","0.001","0.005","0.023","0.398","0.633","0.718"
"CI_12","Coral","0.204","0.225","0.000","0.001","0.011","0.080","0.398","0.612","0.695"
"CI_13","Coral","0.219","0.245","0.000","0.001","0.011","0.079","0.434","0.672","0.746"
"CI_14","Coral","0.265","0.318","0.000","0.001","0.010","0.059","0.585","0.854","0.901"
"CI_2","Coral","0.283","0.372","0.000","0.001","0.006","0.033","0.724","0.924","0.951"
"CI_3","Coral","0.267","0.333","0.000","0.001","0.009","0.054","0.622","0.880","0.918"
"CI_4","Coral","0.223","0.306","0.000","0.000","0.004","0.017","0.543","0.793","0.861"
"CI_5","Coral","0.222","0.295","0.000","0.001","0.005","0.027","0.516","0.779","0.856"
"CI_6","Coral","0.269","0.362","0.000","0.001","0.005","0.023","0.690","0.897","0.934"
"CI_7","Coral","0.244","0.325","0.000","0.001","0.006","0.028","0.594","0.839","0.895"
"CI_8","Coral","0.259","0.342","0.000","0.001","0.006","0.031","0.629","0.882","0.929"
"GS_1","Coral","0.210","0.228","0.000","0.001","0.011","0.088","0.395","0.620","0.727"
"GS_2","Coral","0.188","0.238","0.000","0.001","0.007","0.042","0.386","0.650","0.751"
"GS_3","Coral","0.167","0.227","0.000","0.000","0.005","0.023","0.359","0.606","0.711"
"GS_4","Coral","0.254","0.294","0.000","0.001","0.010","0.075","0.526","0.805","0.876"
"CI_1","PelagicPlankton","0.629","0.244","0.199","0.221","0.344","0.752","0.820","0.885","0.902"
"CI_10","PelagicPlankton","0.811","0.099","0.615","0.647","0.750","0.817","0.883","0.959","0.973"
"CI_11","PelagicPlankton","0.744","0.222","0.247","0.324","0.553","0.839","0.925","0.974","0.982"
"CI_12","PelagicPlankton","0.538","0.137","0.266","0.334","0.460","0.531","0.606","0.790","0.868"
"CI_13","PelagicPlankton","0.473","0.127","0.211","0.271","0.402","0.469","0.541","0.681","0.758"
"CI_14","PelagicPlankton","0.432","0.178","0.071","0.112","0.319","0.446","0.540","0.719","0.805"
"CI_2","PelagicPlankton","0.620","0.339","0.035","0.053","0.225","0.795","0.892","0.964","0.977"
"CI_3","PelagicPlankton","0.560","0.266","0.063","0.095","0.307","0.652","0.768","0.902","0.934"
"CI_4","PelagicPlankton","0.723","0.296","0.108","0.175","0.421","0.896","0.951","0.984","0.988"
"CI_5","PelagicPlankton","0.705","0.275","0.120","0.190","0.441","0.844","0.921","0.972","0.983"
"CI_6","PelagicPlankton","0.660","0.342","0.048","0.081","0.267","0.853","0.930","0.977","0.985"
"CI_7","PelagicPlankton","0.636","0.291","0.081","0.125","0.342","0.760","0.878","0.964","0.976"
"CI_8","PelagicPlankton","0.654","0.315","0.059","0.096","0.318","0.815","0.906","0.968","0.981"
"GS_1","PelagicPlankton","0.534","0.142","0.247","0.324","0.453","0.524","0.605","0.794","0.876"
"GS_2","PelagicPlankton","0.697","0.199","0.221","0.321","0.570","0.734","0.855","0.955","0.969"
"GS_3","PelagicPlankton","0.770","0.208","0.262","0.365","0.618","0.857","0.935","0.977","0.985"
"GS_4","PelagicPlankton","0.509","0.196","0.099","0.167","0.397","0.505","0.619","0.874","0.931"
"CI_1","ReefPlankton","0.130","0.093","0.002","0.005","0.040","0.127","0.200","0.286","0.314"
"CI_10","ReefPlankton","0.095","0.089","0.001","0.002","0.020","0.068","0.152","0.274","0.313"
"CI_11","ReefPlankton","0.079","0.074","0.001","0.003","0.021","0.056","0.117","0.225","0.266"
"CI_12","ReefPlankton","0.258","0.203","0.002","0.003","0.042","0.257","0.443","0.566","0.599"
"CI_13","ReefPlankton","0.307","0.225","0.001","0.003","0.059","0.344","0.507","0.629","0.658"
"CI_14","ReefPlankton","0.304","0.223","0.001","0.003","0.056","0.351","0.497","0.627","0.662"
"CI_2","ReefPlankton","0.097","0.090","0.001","0.002","0.022","0.072","0.153","0.272","0.310"
"CI_3","ReefPlankton","0.173","0.144","0.001","0.002","0.038","0.155","0.273","0.426","0.489"
"CI_4","ReefPlankton","0.054","0.052","0.001","0.002","0.016","0.039","0.076","0.162","0.194"
"CI_5","ReefPlankton","0.073","0.068","0.001","0.002","0.019","0.053","0.109","0.211","0.245"
"CI_6","ReefPlankton","0.071","0.069","0.001","0.002","0.018","0.049","0.105","0.213","0.257"
"CI_7","ReefPlankton","0.120","0.112","0.001","0.002","0.025","0.088","0.184","0.340","0.383"
"CI_8","ReefPlankton","0.088","0.083","0.001","0.002","0.021","0.063","0.133","0.252","0.297"
"GS_1","ReefPlankton","0.256","0.212","0.001","0.002","0.035","0.242","0.456","0.583","0.611"
"GS_2","ReefPlankton","0.115","0.112","0.001","0.002","0.023","0.076","0.180","0.344","0.389"
"GS_3","ReefPlankton","0.063","0.063","0.001","0.003","0.016","0.042","0.090","0.196","0.228"
"GS_4","ReefPlankton","0.237","0.202","0.001","0.003","0.033","0.200","0.422","0.563","0.593"
