"","SampleID","Group","Species.name","Common.name","Data.source","Thr","Val","Leu","Phe","Lys","Thrn","Valn","Leun","Phen","Lysn","Tagging.Date","Total.Length..cm.","Total.Detections","Detection.Span..days.","Total.Detection.Days","Residency.index","LD.class","LD1","LD2","Source","Mean","SD"
"1","CI_1","GT","Caranx ignobilis","Giant Trevally","This study",-8.1,-17.4,-19,-20.3,-12.2,7.3,-2,-3.6,-4.9,3.2,"7/4/18",119,4,0,1,0,"ReefPlankton",2.14888271199572,-3.06905250916835,"Inshore",0.371,"0.244"
"2","CI_1","GT","Caranx ignobilis","Giant Trevally","This study",-8.1,-17.4,-19,-20.3,-12.2,7.3,-2,-3.6,-4.9,3.2,"7/4/18",119,4,0,1,0,"ReefPlankton",2.14888271199572,-3.06905250916835,"Offshore",0.629,"0.244"
"3","CI_10","GT","Caranx ignobilis","Giant Trevally","This study",-8.2,-20.1,-22.1,-23.3,-16.8,9.9,-2,-4,-5.2,1.3,"7/4/18",126,1376,388,61,0.16,"PelagicPlankton",7.45582189179489,0.321594024329713,"Inshore",0.189,"0.099"
"4","CI_10","GT","Caranx ignobilis","Giant Trevally","This study",-8.2,-20.1,-22.1,-23.3,-16.8,9.9,-2,-4,-5.2,1.3,"7/4/18",126,1376,388,61,0.16,"PelagicPlankton",7.45582189179489,0.321594024329713,"Offshore",0.811,"0.099"
"5","CI_11","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-19,-21.3,-23.2,-14.7,8.76,-1.64,-3.94,-5.84,2.66,"7/6/18",138,2075,355,69,0.18,"PelagicPlankton",6.54173173708133,-1.13753761089681,"Inshore",0.256,"0.222"
"6","CI_11","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-19,-21.3,-23.2,-14.7,8.76,-1.64,-3.94,-5.84,2.66,"7/6/18",138,2075,355,69,0.18,"PelagicPlankton",6.54173173708133,-1.13753761089681,"Offshore",0.744,"0.222"
"7","CI_12","GT","Caranx ignobilis","Giant Trevally","This study",-8.4,-19.2,-21.5,-20.3,-17.1,8.9,-1.9,-4.2,-3,0.2,"7/6/18",131,884,377,73,0.19,"ReefPlankton",2.53878935083552,1.55355256747109,"Inshore",0.462,"0.137"
"8","CI_12","GT","Caranx ignobilis","Giant Trevally","This study",-8.4,-19.2,-21.5,-20.3,-17.1,8.9,-1.9,-4.2,-3,0.2,"7/6/18",131,884,377,73,0.19,"ReefPlankton",2.53878935083552,1.55355256747109,"Offshore",0.538,"0.137"
"9","CI_13","GT","Caranx ignobilis","Giant Trevally","This study",-9,-19.9,-21.5,-20.4,-17.3,8.62,-2.28,-3.88,-2.78,0.32,"7/6/18",122,2238,318,223,0.57,"ReefPlankton",1.99924491178108,1.58148526542023,"Inshore",0.527,"0.127"
"10","CI_13","GT","Caranx ignobilis","Giant Trevally","This study",-9,-19.9,-21.5,-20.4,-17.3,8.62,-2.28,-3.88,-2.78,0.32,"7/6/18",122,2238,318,223,0.57,"ReefPlankton",1.99924491178108,1.58148526542023,"Offshore",0.473,"0.127"
"11","CI_14","GT","Caranx ignobilis","Giant Trevally","This study",-9.3,-18.5,-20.9,-20,-17.1,7.86,-1.34,-3.74,-2.84,0.06,"7/4/18",114,2179,383,250,0.64,"ReefPlankton",0.778452022155359,2.39398645122456,"Inshore",0.568,"0.178"
