"SampleID_new","Source","Mean","SD","2.5.perc","5.perc","25.perc","50.perc","75.perc","95.perc","97.5.perc"
"GS_2","Coral","0.028","0.029","0.001","0.001","0.007","0.018","0.039","0.089","0.109"
"GS_3","Coral","0.069","0.099","0.000","0.001","0.006","0.023","0.088","0.303","0.363"
"GS_4","Coral","0.082","0.114","0.000","0.001","0.007","0.027","0.110","0.354","0.398"
"GS_6","Coral","0.037","0.052","0.000","0.001","0.004","0.014","0.047","0.155","0.195"
"GT_1","Coral","0.045","0.059","0.000","0.001","0.005","0.019","0.062","0.176","0.214"
"GT_10","Coral","0.015","0.021","0.000","0.000","0.002","0.007","0.020","0.057","0.073"
"GT_11","Coral","0.025","0.035","0.000","0.000","0.003","0.011","0.031","0.092","0.130"
"GT_12","Coral","0.025","0.034","0.000","0.000","0.004","0.012","0.032","0.093","0.123"
"GT_13","Coral","0.028","0.036","0.000","0.001","0.004","0.013","0.037","0.107","0.131"
"GT_14","Coral","0.074","0.104","0.000","0.001","0.007","0.026","0.096","0.330","0.388"
"GT_2","Coral","0.072","0.097","0.000","0.001","0.007","0.027","0.100","0.295","0.348"
"GT_3","Coral","0.058","0.086","0.000","0.001","0.006","0.022","0.070","0.263","0.328"
"GT_5","Coral","0.020","0.027","0.000","0.000","0.003","0.010","0.027","0.074","0.098"
"GT_6","Coral","0.021","0.028","0.000","0.000","0.003","0.010","0.028","0.079","0.100"
"GT_7","Coral","0.031","0.041","0.000","0.001","0.005","0.015","0.041","0.116","0.150"
"GT_8","Coral","0.024","0.032","0.000","0.001","0.004","0.012","0.031","0.092","0.120"
"GT_9","Coral","0.028","0.037","0.000","0.001","0.004","0.013","0.036","0.113","0.139"
"GS_2","PelagicPlankton","0.832","0.056","0.708","0.733","0.798","0.836","0.871","0.915","0.926"
"GS_3","PelagicPlankton","0.643","0.159","0.389","0.416","0.524","0.613","0.752","0.944","0.967"
"GS_4","PelagicPlankton","0.589","0.150","0.370","0.394","0.479","0.558","0.671","0.903","0.946"
"GS_6","PelagicPlankton","0.827","0.111","0.587","0.633","0.751","0.842","0.918","0.978","0.985"
"GT_1","PelagicPlankton","0.744","0.125","0.490","0.539","0.657","0.745","0.834","0.948","0.969"
"GT_10","PelagicPlankton","0.924","0.060","0.768","0.802","0.896","0.939","0.968","0.989","0.993"
"GT_11","PelagicPlankton","0.889","0.078","0.696","0.735","0.845","0.904","0.948","0.984","0.989"
"GT_12","PelagicPlankton","0.872","0.085","0.671","0.709","0.822","0.887","0.940","0.980","0.986"
"GT_13","PelagicPlankton","0.850","0.092","0.640","0.678","0.794","0.861","0.923","0.975","0.984"
"GT_14","PelagicPlankton","0.524","0.134","0.309","0.346","0.436","0.504","0.590","0.802","0.874"
"GT_2","PelagicPlankton","0.599","0.141","0.374","0.403","0.498","0.576","0.675","0.885","0.937"
"GT_3","PelagicPlankton","0.547","0.149","0.308","0.344","0.447","0.525","0.623","0.860","0.925"
"GT_5","PelagicPlankton","0.895","0.074","0.717","0.750","0.856","0.911","0.952","0.983","0.988"
"GT_6","PelagicPlankton","0.888","0.079","0.699","0.736","0.844","0.904","0.948","0.981","0.988"
"GT_7","PelagicPlankton","0.782","0.123","0.514","0.567","0.704","0.791","0.877","0.960","0.974"
"GT_8","PelagicPlankton","0.834","0.113","0.565","0.617","0.768","0.854","0.924","0.973","0.981"
"GT_9","PelagicPlankton","0.858","0.090","0.653","0.693","0.802","0.870","0.930","0.977","0.985"
"GS_2","ReefPlankton","0.141","0.062","0.033","0.046","0.097","0.136","0.181","0.246","0.270"
"GS_3","ReefPlankton","0.288","0.175","0.016","0.027","0.130","0.294","0.433","0.558","0.598"
"GS_4","ReefPlankton","0.329","0.176","0.016","0.030","0.182","0.354","0.477","0.580","0.606"
"GS_6","ReefPlankton","0.136","0.110","0.008","0.011","0.045","0.109","0.205","0.348","0.396"
"GT_1","ReefPlankton","0.211","0.132","0.012","0.020","0.101","0.204","0.302","0.433","0.483"
"GT_10","ReefPlankton","0.061","0.056","0.004","0.005","0.020","0.045","0.084","0.174","0.212"
"GT_11","ReefPlankton","0.087","0.073","0.005","0.008","0.032","0.068","0.122","0.234","0.285"
"GT_12","ReefPlankton","0.103","0.081","0.007","0.011","0.037","0.083","0.148","0.265","0.304"
"GT_13","ReefPlankton","0.122","0.091","0.008","0.013","0.049","0.102","0.175","0.298","0.342"
"GT_14","ReefPlankton","0.402","0.170","0.031","0.067","0.296","0.438","0.527","0.631","0.668"
"GT_2","ReefPlankton","0.330","0.165","0.023","0.041","0.199","0.354","0.456","0.574","0.609"
"GT_3","ReefPlankton","0.394","0.173","0.027","0.060","0.288","0.423","0.521","0.636","0.673"
"GT_5","ReefPlankton","0.085","0.071","0.006","0.009","0.031","0.064","0.120","0.226","0.269"
"GT_6","ReefPlankton","0.091","0.075","0.005","0.008","0.032","0.071","0.130","0.236","0.279"
"GT_7","ReefPlankton","0.187","0.126","0.010","0.018","0.084","0.171","0.268","0.412","0.470"
"GT_8","ReefPlankton","0.141","0.113","0.007","0.013","0.050","0.115","0.206","0.359","0.424"
"GT_9","ReefPlankton","0.114","0.088","0.007","0.011","0.043","0.093","0.165","0.281","0.329"
