"","SampleID_new","source","ocean","location","site","sample.type","group","group.2","species.taxa","Thr","Val","Phe","Leu","Thr.n","Val.n","Phe.n","Leu.n","LD.class","LD1","LD2"
"1",26,"McMahon et al. 2016","Red Sea","Ron's Reef","Shelf","fish","corallivore","corallivore","Chaetodon trifascialis",-0.3,-20.8,-18.7,-22.3,15.225,-5.275,-3.175,-6.775,"Source",6.11278744696224,-0.521878934840036
"2",27,"McMahon et al. 2016","Red Sea","LJ's Reef","Shelf","fish","corallivore","corallivore","Chaetodon trifascialis",-3.2,-20.4,-18.1,-21.5,12.6,-4.6,-2.3,-5.7,"Source",4.42140089128889,-0.837012655987513
"3",29,"McMahon et al. 2016","Red Sea","Brown Reef","Shelf","fish","corallivore","corallivore","Chaetodon trifascialis",-1,-20,-19,-22.3,14.575,-4.425,-3.425,-6.725,"Source",5.1900859918278,-1.04275964097702
"4",34,"McMahon et al. 2016","Red Sea","Ron's Reef","Shelf","fish","zooplanktivore","reef.zooplanktivore","     A. indicus",-9.5,-20.9,-23.2,-23.8,9.85,-1.55,-3.85,-4.45,"Source",-1.3337231851815,-0.991818615698779
"5",42,"McMahon et al. 2016","Red Sea","LJ's Reef ","Shelf","fish","zooplanktivore","reef.zooplanktivore","     A. indicus",-9.4,-21.4,-23.5,-24.1,10.2,-1.8,-3.9,-4.5,"Source",-1.18749509773041,-0.772673500285828
"6",50,"McMahon et al. 2016","Red Sea","Saut Reef","Shelf","fish","zooplanktivore","reef.zooplanktivore","     A. indicus",-8.4,-19.8,-22.5,-22,9.775,-1.625,-4.325,-3.825,"Source",-0.344274650470965,0.453961667597163
"7",58,"McMahon et al. 2016","Red Sea","Brown Reef ","Shelf","fish","zooplanktivore","reef.zooplanktivore","     A. indicus",-7.9,-20.5,-22.5,-23.4,10.675,-1.925,-3.925,-4.825,"Source",-0.194785176357055,-0.93053184051854
"8",252,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-8.1,-17.4,-20.3,-19,8.1,-1.2,-4.1,-2.8,"pelagic.zooplanktivore",0.20808784098461,1.21335592441207
"9",253,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-10,-17.1,-22.1,-21.5,7.675,0.574999999999999,-4.425,-3.825,"reef.zooplanktivore",-2.49362336070286,-1.58187894247769
"10",254,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-8.3,-18.2,-20.2,-20,8.375,-1.525,-3.525,-3.325,"reef.zooplanktivore",0.118708634536977,0.240591928344143
"11",255,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-8.6,-18.9,-23.3,-20.9,9.325,-0.974999999999998,-5.375,-2.975,"pelagic.zooplanktivore",-0.665611631179967,1.98829707074876
"12",256,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-7.5,-18.7,-21.3,-20.2,9.425,-1.775,-4.375,-3.275,"pelagic.zooplanktivore",0.609824297582251,1.43557452729196
"13",257,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-9.7,-19,-22.9,-21.1,8.475,-0.824999999999999,-4.725,-2.925,"reef.zooplanktivore",-1.33859432710723,1.18519245576004
"14",258,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-7.8,-17.8,-21.1,-19.2,8.675,-1.325,-4.625,-2.725,"pelagic.zooplanktivore",0.377262060432551,1.96571802446746
"15",259,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-9.7,-19.8,-22.8,-21.5,8.75,-1.35,-4.35,-3.05,"reef.zooplanktivore",-1.06775187651487,1.13025477409744
"16",260,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-8.2,-20.1,-23.3,-22.1,10.225,-1.675,-4.875,-3.675,"reef.zooplanktivore",-0.253357143597669,1.25223913060572
"17",261,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-8.6,-19,-23.2,-21.3,9.425,-0.975000000000001,-5.175,-3.275,"reef.zooplanktivore",-0.748194361291109,1.39988874510795
"18",262,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-8.4,-19.2,-20.3,-21.5,8.95,-1.85,-2.95,-4.15,"reef.zooplanktivore",-0.0328107469497813,-1.11575633986282
"19",263,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-9,-19.9,-20.4,-21.5,8.7,-2.2,-2.7,-3.8,"reef.zooplanktivore",-0.0937764995655596,-0.637511078928368
"20",264,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Caranx ignobilis",-9.3,-18.5,-20,-20.9,7.875,-1.325,-2.825,-3.725,"reef.zooplanktivore",-0.692585950166619,-1.23661626485997
"21",265,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Carcharhinus galapagensis",-8.1,-19.2,-19.8,-21.4,9.025,-2.075,-2.675,-4.275,"reef.zooplanktivore",0.2991918128324,-1.31899311998518
"22",266,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Carcharhinus galapagensis",-7.7,-17.5,-21.2,-21.6,9.3,-0.5,-4.2,-4.6,"reef.zooplanktivore",-0.641684566921223,-1.64242992086639
"23",267,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Carcharhinus galapagensis",-6.6,-16.1,-21.3,-20.6,9.55,0.0500000000000007,-5.15,-4.45,"reef.zooplanktivore",-0.262561908420414,-0.918718693986695
"24",268,"Meyer et al. in review","Central Pacific","Northwestern Hawaiian Islands",NA,"fish","reef.predator","reef.predator","Carcharhinus galapagensis",-8.2,-17.4,-19.5,-21,8.325,-0.875,-2.975,-4.475,"reef.zooplanktivore",-0.465311467628008,-2.38360977831947
"25",277,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","8","fish","corallivore","corallivore","Chaetodon ornatissimus",-7.18,-21.58,-21.35,-22.43,10.955,-3.445,-3.215,-4.295,"Source",1.41569659385786,0.506954250675347
"26",278,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","8","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.49,-21.19,-20.85,-22.34,11.2275,-3.4725,-3.1325,-4.6225,"Source",1.80380995885509,0.082195519004985
"27",279,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","8","fish","corallivore","corallivore","Chaetodon ornatissimus",-7.95,-21.6,-20.63,-23.73,10.5275,-3.1225,-2.1525,-5.2525,"Source",0.562362208938934,-2.14608714519198
"28",280,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","8","fish","corallivore","corallivore","Chaetodon ornatissimus",-5.23,-20.01,-18.92,-20.98,11.055,-3.725,-2.635,-4.695,"Source",2.92769253254395,-0.163151635188837
"29",281,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","8","fish","corallivore","corallivore","Chaetodon ornatissimus",-7.06,-22.7,-21.6,-22.94,11.515,-4.125,-3.025,-4.365,"Source",1.81778445786506,0.856393601963945
"30",299,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","10","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-9.95,-23.59,-26.54,-26.04,11.58,-2.06,-5.01,-4.51,"Source",-1.76868784638261,0.491878242764038
"31",300,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","10","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-9.69,-23.44,-26.3,-25.91,11.645,-2.105,-4.965,-4.575,"Source",-1.57744040316806,0.425958035583502
"32",301,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","11","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-10.11,-23.04,-25.89,-25.56,11.04,-1.89,-4.74,-4.41,"Source",-1.84366815156352,0.189685618771063
"33",318,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","15","fish","corallivore","corallivore","Chaetodon ornatissimus",-7.78,-21.98,-22.16,-22.88,10.92,-3.28,-3.46,-4.18,"Source",0.895049711323264,0.696317415890705
"34",319,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","15","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.91,-23.93,-22.37,-23.33,12.225,-4.795,-3.235,-4.195,"Source",2.24065836383293,1.90553088604327
"35",320,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","15","fish","corallivore","corallivore","Chaetodon ornatissimus",-5.62,-19.95,-20.14,-21.14,11.0925,-3.2375,-3.4275,-4.4275,"Source",2.3445229615941,0.488157119125034
"36",321,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","15","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.67,-21.5,-21.67,-23.26,11.605,-3.225,-3.395,-4.985,"Source",1.33337571331802,-0.374229155337696
"37",322,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","15","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.8,-21.66,-21.54,-23.28,11.52,-3.34,-3.22,-4.96,"Source",1.34598500668685,-0.420073143395347
"38",365,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.43,-21.1,-20.6,-22.73,11.285,-3.385,-2.885,-5.015,"Source",1.6975251560254,-0.747975205500688
"39",366,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.06,-21.14,-20.77,-22.3,11.5075,-3.5725,-3.2025,-4.7325,"Source",2.09238576353633,0.134807541612743
"40",367,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.37,-20.73,-20.9,-22.25,11.1925,-3.1675,-3.3375,-4.6875,"Source",1.67522461358302,-0.068086275998096
"41",368,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.2,-21,-20.21,-21.9,11.1275,-3.6725,-2.8825,-4.5725,"Source",2.18976935446177,0.108717236930564
"42",369,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","corallivore","corallivore","Chaetodon ornatissimus",-6.07,-20.24,-19.66,-21.49,10.795,-3.375,-2.795,-4.625,"Source",2.15380445737869,-0.304529357442068
"43",382,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-9.89,-23.72,-27.06,-26.55,11.915,-1.915,-5.255,-4.745,"Source",-1.95798886301408,0.298622639240043
"44",383,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-8.51,-23.65,-26.89,-25.62,12.6575,-2.4825,-5.7225,-4.4525,"Source",-0.697596597072593,1.77335661238888
"45",384,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-8.9,-22.65,-26.57,-25.3,11.955,-1.795,-5.715,-4.445,"Source",-1.27577424157959,1.11840783204659
"46",385,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-9.38,-22.72,-26.48,-26.15,11.8025,-1.5375,-5.2975,-4.9675,"Source",-1.86291289762965,-0.249218130139564
"47",386,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","30","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-10.27,-23.21,-26.14,-25.34,10.97,-1.97,-4.9,-4.1,"Source",-1.82759111410137,0.81074880862122
"48",393,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","34","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-8.56,-23.03,-26.36,-25.48,12.2975,-2.1725,-5.5025,-4.6225,"Source",-0.888098412972569,1.04967748814719
"49",408,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","35","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-9.41,-22.82,-26.51,-26.57,11.9175,-1.4925,-5.1825,-5.2425,"Source",-1.99792157807324,-0.764964898683972
"50",409,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","35","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-9.24,-22.58,-26,-25.92,11.695,-1.645,-5.065,-4.985,"Source",-1.66130324988851,-0.390610245951935
"51",410,"Ramirez et al. 2025","Central Pacific","Kiritimati Island","35","fish","zooplanktivore","reef.zooplanktivore","Pseudanthias olivaceus",-11,-23.36,-26.16,-26.56,10.77,-1.59,-4.39,-4.79,"Source",-2.70108766054509,-0.999267505395514
"52",413,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","diurnal.reef.plankton","reef.zooplanktivore","Caesio varilineata",-14.08,-25.58,-21.18,-24.16,7.17,-4.33,0.0700000000000003,-2.91,"Source",-1.73472970896629,-0.695979404414491
"53",414,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","diurnal.reef.plankton","reef.zooplanktivore","Caesio varilineata",-13.74,-25.82,-21.75,-25.76,8.0275,-4.0525,0.0175000000000018,-3.9925,"Source",-2.10887489354099,-2.28216846746883
"54",415,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","diurnal.reef.plankton","reef.zooplanktivore","Caesio xanthonota",-12.91,-24.49,-21.1,-23.81,7.6675,-3.9125,-0.522500000000001,-3.2325,"Source",-1.3658624793298,-0.814454348303891
"55",434,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","corallivore","corallivore","Chaetodon meyeri",-8.76,-22,-15.46,-20.46,7.91,-5.33,1.21,-3.79,"Source",2.47264623318234,-1.59971907094325
"56",443,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","nocturnal.reef.plankton","reef.zooplanktivore","Myripristis violacea",-13.38,-22.1,-23.63,-22.57,7.04,-1.68,-3.21,-2.15,"Source",-2.89736877350599,1.1711824983998
"57",444,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","nocturnal.reef.plankton","reef.zooplanktivore","Myripristis violacea",-12.6,-23.85,-20.61,-22.96,7.405,-3.845,-0.605,-2.955,"Source",-1.06668939961113,-0.405316919062671
"58",445,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","nocturnal.reef.plankton","reef.zooplanktivore","Myripristis violacea",-14.02,-23.92,-21.09,-22.92,6.4675,-3.4325,-0.602499999999999,-2.4325,"Source",-2.04373145317886,-0.221188539972982
"59",446,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","nocturnal.reef.plankton","reef.zooplanktivore","Myripristis violacea",-12.41,-23.29,-20.81,-22.91,7.445,-3.435,-0.954999999999998,-3.055,"Source",-1.24380819737111,-0.548349020388753
"60",447,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","nocturnal.reef.plankton","reef.zooplanktivore","Myripristis violacea",-12.26,-23.15,-20.62,-23.02,7.5025,-3.3875,-0.857500000000002,-3.2575,"Source",-1.22099215611101,-0.938929100815669
"61",448,"Skinner et al. 2021","Indian Ocean","Maldives","Inner","fish","nocturnal.reef.plankton","reef.zooplanktivore","Myripristis violacea",-13.4,-25.82,-21.05,-23.34,7.5025,-4.9175,-0.147500000000001,-2.4375,"Source",-0.828396379573076,0.726712771159845
"62",456,"Skinner et al. 2021","Indian Ocean","Maldives","Outer","fish","diurnal.reef.plankton","reef.zooplanktivore","Caesio varilineata",-15.02,-25.99,-22.41,-24.91,7.0625,-3.9075,-0.327500000000001,-2.8275,"Source",-2.66942612836567,-0.662395279576674
"63",457,"Skinner et al. 2021","Indian Ocean","Maldives","Outer","fish","diurnal.reef.plankton","reef.zooplanktivore","Caesio varilineata",-12.5,-22.06,-20.52,-22.63,6.9275,-2.6325,-1.0925,-3.2025,"Source",-1.76156724315014,-1.34220833762929
