
#################################################################
# Summary Statistics
#################################################################

DIC = 264.4103

                         Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.GS_1.Coral            0.025 0.031 0.000 0.001 0.005 0.014 0.032 0.086 0.110
p.GS_2.Coral            0.027 0.045 0.000 0.000 0.003 0.010 0.031 0.120 0.161
p.GS_3.Coral            0.019 0.028 0.000 0.000 0.002 0.008 0.023 0.074 0.100
p.GS_4.Coral            0.042 0.067 0.000 0.000 0.004 0.014 0.048 0.188 0.251
p.GT_1.Coral            0.027 0.041 0.000 0.000 0.003 0.012 0.033 0.112 0.149
p.GT_10.Coral           0.025 0.036 0.000 0.000 0.003 0.011 0.030 0.099 0.133
p.GT_11.Coral           0.021 0.031 0.000 0.000 0.003 0.009 0.026 0.086 0.114
p.GT_12.Coral           0.050 0.076 0.000 0.000 0.004 0.017 0.060 0.224 0.286
p.GT_13.Coral           0.050 0.077 0.000 0.001 0.005 0.018 0.059 0.227 0.293
p.GT_14.Coral           0.039 0.061 0.000 0.000 0.004 0.014 0.046 0.165 0.225
p.GT_2.Coral            0.023 0.034 0.000 0.000 0.003 0.009 0.028 0.092 0.125
p.GT_3.Coral            0.037 0.055 0.000 0.000 0.004 0.014 0.046 0.159 0.204
p.GT_4.Coral            0.017 0.025 0.000 0.000 0.002 0.007 0.021 0.069 0.090
p.GT_5.Coral            0.022 0.036 0.000 0.000 0.002 0.008 0.027 0.094 0.129
p.GT_6.Coral            0.021 0.031 0.000 0.000 0.003 0.009 0.026 0.084 0.105
p.GT_7.Coral            0.023 0.034 0.000 0.000 0.003 0.010 0.027 0.088 0.122
p.GT_8.Coral            0.024 0.038 0.000 0.000 0.003 0.009 0.029 0.098 0.140
p.GS_1.PelagicPlankton  0.789 0.088 0.593 0.626 0.733 0.799 0.856 0.916 0.936
p.GS_2.PelagicPlankton  0.838 0.116 0.574 0.614 0.767 0.862 0.931 0.979 0.985
p.GS_3.PelagicPlankton  0.889 0.078 0.705 0.738 0.844 0.906 0.950 0.984 0.989
p.GS_4.PelagicPlankton  0.713 0.165 0.402 0.447 0.582 0.719 0.848 0.966 0.980
p.GT_1.PelagicPlankton  0.742 0.143 0.449 0.495 0.643 0.750 0.851 0.959 0.978
p.GT_10.PelagicPlankton 0.828 0.101 0.613 0.649 0.760 0.837 0.908 0.971 0.982
p.GT_11.PelagicPlankton 0.854 0.095 0.633 0.677 0.795 0.869 0.930 0.978 0.985
p.GT_12.PelagicPlankton 0.655 0.158 0.390 0.423 0.535 0.634 0.770 0.940 0.968
p.GT_13.PelagicPlankton 0.564 0.155 0.318 0.347 0.453 0.543 0.648 0.879 0.934
p.GT_14.PelagicPlankton 0.598 0.166 0.327 0.358 0.476 0.574 0.705 0.922 0.954
p.GT_2.PelagicPlankton  0.852 0.099 0.628 0.666 0.788 0.869 0.931 0.979 0.987
p.GT_3.PelagicPlankton  0.733 0.140 0.447 0.493 0.635 0.738 0.841 0.953 0.971
p.GT_4.PelagicPlankton  0.897 0.072 0.727 0.757 0.854 0.913 0.953 0.984 0.989
p.GT_5.PelagicPlankton  0.872 0.088 0.667 0.706 0.817 0.889 0.942 0.982 0.988
p.GT_6.PelagicPlankton  0.869 0.087 0.659 0.707 0.812 0.885 0.939 0.980 0.986
p.GT_7.PelagicPlankton  0.780 0.133 0.502 0.549 0.688 0.792 0.889 0.968 0.979
p.GT_8.PelagicPlankton  0.846 0.100 0.622 0.660 0.782 0.863 0.927 0.978 0.984
p.GS_1.ReefPlankton     0.186 0.092 0.036 0.053 0.118 0.176 0.244 0.359 0.392
p.GS_2.ReefPlankton     0.135 0.112 0.007 0.012 0.047 0.102 0.194 0.362 0.409
p.GS_3.ReefPlankton     0.092 0.075 0.006 0.009 0.033 0.073 0.132 0.242 0.281
p.GS_4.ReefPlankton     0.245 0.168 0.011 0.019 0.099 0.222 0.376 0.537 0.578
p.GT_1.ReefPlankton     0.230 0.146 0.012 0.020 0.113 0.220 0.328 0.487 0.538
p.GT_10.ReefPlankton    0.148 0.100 0.009 0.016 0.067 0.133 0.213 0.336 0.370
p.GT_11.ReefPlankton    0.125 0.092 0.008 0.014 0.050 0.106 0.184 0.300 0.339
p.GT_12.ReefPlankton    0.295 0.166 0.016 0.029 0.155 0.303 0.426 0.555 0.588
p.GT_13.ReefPlankton    0.386 0.172 0.027 0.059 0.273 0.408 0.517 0.628 0.664
p.GT_14.ReefPlankton    0.363 0.176 0.022 0.042 0.234 0.388 0.497 0.622 0.654
p.GT_2.ReefPlankton     0.126 0.096 0.007 0.012 0.048 0.101 0.185 0.311 0.350
p.GT_3.ReefPlankton     0.230 0.144 0.015 0.025 0.109 0.216 0.335 0.482 0.537
p.GT_4.ReefPlankton     0.086 0.069 0.006 0.009 0.033 0.069 0.122 0.223 0.258
p.GT_5.ReefPlankton     0.106 0.083 0.006 0.011 0.040 0.086 0.152 0.266 0.311
p.GT_6.ReefPlankton     0.111 0.084 0.008 0.012 0.044 0.090 0.161 0.270 0.314
p.GT_7.ReefPlankton     0.197 0.134 0.010 0.018 0.085 0.179 0.290 0.438 0.481
p.GT_8.ReefPlankton     0.129 0.097 0.008 0.012 0.051 0.110 0.187 0.319 0.360
