"","SampleID","Group","Species.name","Common.name","Data.source","Thr","Val","Leu","Phe","Lys","Thrn","Valn","Leun","Phen","Lysn","Tagging.Date","Total.Length..cm.","Total.Detections","Detection.Span..days.","Total.Detection.Days","Residency.index","LD.class","LD1","LD2"
"1","Coral_1","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-8.76,-22,-20.46,-15.46,-13.17,7.21,-6.03,-4.49,0.51,2.8,NA,NA,NA,NA,NA,NA,"Source",-5.11321590198133,-4.07321819049642
"2","Coral_2","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-9.4,-22.91,-22.5,-15.42,-13.98,7.442,-6.068,-5.658,1.422,2.862,NA,NA,NA,NA,NA,NA,"Source",-5.34993404087033,-3.19305589779196
"3","Coral_3","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-12.55,-23.22,-22.39,-17.49,-13.51,5.282,-5.388,-4.558,0.342,4.322,NA,NA,NA,NA,NA,NA,"Source",-6.15198916376005,-2.62115643973948
"4","Coral_4","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-7.04,-20.8,-18.22,-14.26,-11.54,7.332,-6.428,-3.848,0.112,2.832,NA,NA,NA,NA,NA,NA,"Source",-5.45502053911715,-6.07300229013198
"5","Coral_5","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-7.22,-18.38,-19.23,-14.34,-11.37,6.888,-4.272,-5.122,-0.232,2.738,NA,NA,NA,NA,NA,NA,"Source",-5.45746320942498,-4.41834918636959
"6","Coral_6","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-7.18,-20.44,-18.45,-14.19,-12.43,7.358,-5.902,-3.912,0.348,2.108,NA,NA,NA,NA,NA,NA,"Source",-5.70249281474226,-4.76015806845382
"7","Coral_7","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-7.31,-19.07,-17.57,-13.6,-11.62,6.524,-5.236,-3.736,0.234,2.214,NA,NA,NA,NA,NA,NA,"Source",-7.06378614561628,-4.73266401407314
"8","Coral_8","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-7.15,-20.8,-18.9,-15.26,-13.02,7.876,-5.774,-3.874,-0.234,2.006,NA,NA,NA,NA,NA,NA,"Source",-3.93946835824027,-4.41541039096788
"9","Coral_9","Coral","Chaetodo meyeri","Scrawled Butterflyfish","Skinner et al. 2021",-8.8,-22.49,-19.99,-15.2,-14.88,7.472,-6.218,-3.718,1.072,1.392,NA,NA,NA,NA,NA,NA,"Source",-5.65449427221848,-2.56890981179565
"10","DiurnalReefPlankton_1","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-14.08,-25.58,-24.16,-21.18,-18.71,6.662,-4.838,-3.418,-0.438,2.032,NA,NA,NA,NA,NA,NA,"Source",-1.96591328467104,2.06980406164852
"11","DiurnalReefPlankton_10","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-10.6,-20.91,-21.47,-20.34,-16.39,7.342,-2.968,-3.528,-2.398,1.552,NA,NA,NA,NA,NA,NA,"Source",0.0203646576158779,0.689875780428627
"12","DiurnalReefPlankton_11","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-14.88,-25.08,-23.91,-21.64,-18.66,5.954,-4.246,-3.076,-0.806,2.174,NA,NA,NA,NA,NA,NA,"Source",-2.36897376675575,2.65023850395849
"13","DiurnalReefPlankton_12","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-13.6,-22.28,-22.34,-21.04,-17.67,5.786,-2.894,-2.954,-1.654,1.716,NA,NA,NA,NA,NA,NA,"Source",-2.30230966747935,2.66024269419709
"14","DiurnalReefPlankton_13","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-10.47,-21.57,-22.17,-19.34,-16.93,7.626,-3.474,-4.074,-1.244,1.166,NA,NA,NA,NA,NA,NA,"Source",-1.06993302538338,0.974712775140626
"15","DiurnalReefPlankton_2","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-13.74,-25.82,-25.76,-21.75,-18.96,7.466,-4.614,-4.554,-0.544,2.246,NA,NA,NA,NA,NA,NA,"Source",-0.25860385268606,2.19466644015737
"16","DiurnalReefPlankton_3","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-15.02,-25.99,-24.91,-22.41,-19.58,6.562,-4.408,-3.328,-0.828,2.002,NA,NA,NA,NA,NA,NA,"Source",-1.0740739448489,3.17775944524153
"17","DiurnalReefPlankton_4","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-12.5,-22.06,-22.63,-20.52,-17.22,6.486,-3.074,-3.644,-1.534,1.766,NA,NA,NA,NA,NA,NA,"Source",-1.65640547123853,1.88553513048205
"18","DiurnalReefPlankton_5","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-16.4,-27.74,-25.82,-22.86,-19.27,6.018,-5.322,-3.402,-0.442,3.148,NA,NA,NA,NA,NA,NA,"Source",-1.7268720079614,2.42447131024538
"19","DiurnalReefPlankton_6","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-14.48,-27.04,-24.56,-21.76,-19.72,7.032,-5.528,-3.048,-0.248,1.792,NA,NA,NA,NA,NA,NA,"Source",-1.39435163214892,2.38427028388222
"20","DiurnalReefPlankton_7","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-12.91,-24.49,-23.81,-21.1,-18.17,7.186,-4.394,-3.714,-1.004,1.926,NA,NA,NA,NA,NA,NA,"Source",-0.816688738051103,1.6068348172263
"21","DiurnalReefPlankton_8","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-14.88,-25.2,-24.67,-22.24,-19.34,6.386,-3.934,-3.404,-0.974,1.926,NA,NA,NA,NA,NA,NA,"Source",-1.27328464038482,3.35892176779738
"22","DiurnalReefPlankton_9","ReefPlankton","Caesio varilineata_Caesio xanthonota","Fusiliers","Skinner et al. 2021",-13.41,-23.88,-22.93,-22.77,-19.8,7.148,-3.322,-2.372,-2.212,0.758,NA,NA,NA,NA,NA,NA,"Source",0.747005025652481,3.72656879877397
"23","GS_1","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-8.1,-19.2,-21.4,-19.8,-17.5,9.1,-2,-4.2,-2.6,-0.3,"9/11/14",265,21,1,2,0.01,"ReefPlankton",2.13576944009415,1.87865586167259
"24","GS_2","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-7.7,-17.5,-21.6,-21.2,-15.8,9.06,-0.74,-4.84,-4.44,0.96,"7/6/18",202,1097,336,50,0.13,"ReefPlankton",4.64710505570525,0.86656176723535
"25","GS_3","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-6.6,-16.1,-20.6,-21.3,-14.8,9.28,-0.22,-4.72,-5.42,1.08,"7/5/18",161,523,293,9,0.02,"PelagicPlankton",5.78380844346422,0.0322306504686534
"26","GS_4","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-8.2,-17.4,-21,-19.5,-16.6,8.34,-0.86,-4.46,-2.96,-0.06,"7/4/18",122,818,389,75,0.19,"ReefPlankton",1.34002091945701,2.12202046586233
"27","GT_1","GT","Caranx ignobilis","Giant Trevally","This study",-8.1,-17.4,-19,-20.3,-12.2,7.3,-2,-3.6,-4.9,3.2,"7/4/18",119,4,0,1,0,"ReefPlankton",2.14888271199572,-3.06905250916835
"28","GT_10","GT","Caranx ignobilis","Giant Trevally","This study",-8.2,-20.1,-22.1,-23.3,-16.8,9.9,-2,-4,-5.2,1.3,"7/4/18",126,1376,388,61,0.16,"PelagicPlankton",7.45582189179489,0.321594024329713
"29","GT_11","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-19,-21.3,-23.2,-14.7,8.76,-1.64,-3.94,-5.84,2.66,"7/6/18",138,2075,355,69,0.18,"PelagicPlankton",6.54173173708133,-1.13753761089681
"30","GT_12","GT","Caranx ignobilis","Giant Trevally","This study",-8.4,-19.2,-21.5,-20.3,-17.1,8.9,-1.9,-4.2,-3,0.2,"7/6/18",131,884,377,73,0.19,"ReefPlankton",2.53878935083552,1.55355256747109
"31","GT_13","GT","Caranx ignobilis","Giant Trevally","This study",-9,-19.9,-21.5,-20.4,-17.3,8.62,-2.28,-3.88,-2.78,0.32,"7/6/18",122,2238,318,223,0.57,"ReefPlankton",1.99924491178108,1.58148526542023
"32","GT_14","GT","Caranx ignobilis","Giant Trevally","This study",-9.3,-18.5,-20.9,-20,-17.1,7.86,-1.34,-3.74,-2.84,0.06,"7/4/18",114,2179,383,250,0.64,"ReefPlankton",0.778452022155359,2.39398645122456
"33","GT_2","GT","Caranx ignobilis","Giant Trevally","This study",-10,-17.1,-21.5,-22.1,-15.1,7.16,0.06,-4.34,-4.94,2.06,"7/6/18",144,205,197,19,0.05,"ReefPlankton",3.10902346751146,1.37264129971121
"34","GT_3","GT","Caranx ignobilis","Giant Trevally","This study",-8.3,-18.2,-20,-20.2,-12.3,7.5,-2.4,-4.2,-4.4,3.5,"7/6/18",112,620,354,25,0.06,"ReefPlankton",2.08146572793401,-3.2422421946171
"35","GT_4","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-18.9,-20.9,-23.3,-12.4,8.22,-2.08,-4.08,-6.48,4.42,"7/6/18",142,269,355,27,0.07,"PelagicPlankton",6.59599079829398,-3.63353859540018
"36","GT_5","GT","Caranx ignobilis","Giant Trevally","This study",-7.5,-18.7,-20.2,-21.3,-10.9,8.22,-2.98,-4.48,-5.58,4.82,"7/5/18",125,644,378,30,0.08,"PelagicPlankton",4.79452669189811,-5.55759916466817
"37","GT_6","GT","Caranx ignobilis","Giant Trevally","This study",-9.7,-19,-21.1,-22.9,-12.7,7.38,-1.92,-4.02,-5.82,4.38,"7/6/18",118,1201,354,31,0.08,"PelagicPlankton",4.71250109814804,-2.77856700694495
"38","GT_7","GT","Caranx ignobilis","Giant Trevally","This study",-7.8,-17.8,-19.2,-21.1,-12.6,7.9,-2.1,-3.5,-5.4,3.1,"7/4/18",109,574,358,33,0.08,"PelagicPlankton",3.78055750320265,-3.09609477747828
"39","GT_8","GT","Caranx ignobilis","Giant Trevally","This study",-9.7,-19.8,-21.5,-22.8,-12.9,7.64,-2.46,-4.16,-5.46,4.44,"7/6/18",106,800,326,37,0.09,"PelagicPlankton",4.7278330747592,-3.02671118170786
"40","GT_9","GT","Caranx ignobilis","Giant Trevally","This study",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/4/18",136,1177,387,39,0.1,NA,NA,NA
"41","NocturnalReefPlankton_1","ReefPlankton","Myripristis violacea","Lattice Soldierfish","Skinner et al. 2021",-13.38,-22.1,-22.57,-23.63,-17.47,6.45,-2.27,-2.74,-3.8,2.36,NA,NA,NA,NA,NA,NA,"Source",1.8539014576829,2.23393971520429
