"","SampleID","Group","LD.class","Source","Mean","SD"
"1","GS_1","GS","ReefPlankton","Inshore",0.211,0.088
"2","GS_1","GS","ReefPlankton","Offshore",0.789,0.088
"3","GS_2","GS","ReefPlankton","Inshore",0.162,0.116
"4","GS_2","GS","ReefPlankton","Offshore",0.838,0.116
"5","GS_3","GS","PelagicPlankton","Inshore",0.111,0.078
"6","GS_3","GS","PelagicPlankton","Offshore",0.889,0.078
"7","GS_4","GS","ReefPlankton","Inshore",0.287,0.165
"8","GS_4","GS","ReefPlankton","Offshore",0.713,0.165
"9","GT_1","GT","ReefPlankton","Inshore",0.258,0.143
"10","GT_1","GT","ReefPlankton","Offshore",0.742,0.143
"11","GT_10","GT","PelagicPlankton","Inshore",0.172,0.101
"12","GT_10","GT","PelagicPlankton","Offshore",0.828,0.101
"13","GT_11","GT","PelagicPlankton","Inshore",0.146,0.095
"14","GT_11","GT","PelagicPlankton","Offshore",0.854,0.095
"15","GT_12","GT","ReefPlankton","Inshore",0.345,0.158
"16","GT_12","GT","ReefPlankton","Offshore",0.655,0.158
"17","GT_13","GT","ReefPlankton","Inshore",0.436,0.155
"18","GT_13","GT","ReefPlankton","Offshore",0.564,0.155
"19","GT_14","GT","ReefPlankton","Inshore",0.402,0.166
"20","GT_14","GT","ReefPlankton","Offshore",0.598,0.166
"21","GT_2","GT","ReefPlankton","Inshore",0.148,0.099
"22","GT_2","GT","ReefPlankton","Offshore",0.852,0.099
"23","GT_3","GT","ReefPlankton","Inshore",0.267,0.14
"24","GT_3","GT","ReefPlankton","Offshore",0.733,0.14
"25","GT_4","GT","PelagicPlankton","Inshore",0.103,0.072
"26","GT_4","GT","PelagicPlankton","Offshore",0.897,0.072
"27","GT_5","GT","PelagicPlankton","Inshore",0.128,0.088
"28","GT_5","GT","PelagicPlankton","Offshore",0.872,0.088
"29","GT_6","GT","PelagicPlankton","Inshore",0.131,0.087
"30","GT_6","GT","PelagicPlankton","Offshore",0.869,0.087
"31","GT_7","GT","PelagicPlankton","Inshore",0.22,0.133
"32","GT_7","GT","PelagicPlankton","Offshore",0.78,0.133
"33","GT_8","GT","PelagicPlankton","Inshore",0.154,0.1
"34","GT_8","GT","PelagicPlankton","Offshore",0.846,0.1
